"CUSTOMER FULL NAME","CUSTOMER EMAIL ID","CUSTOMER CREATIONDATE","CUSTOMER’S CATEGORY"
"MS. JENNIFER WILSON",jen_w@gmail.com,1991-06-01,"CATEGORY A"
"MR. JACKSON DAVIS",dave_jack@gmail.com,2001-06-12,"CATEGORY A"
"MS. KOMAL CHOUDHARY",ch_komal@yahoo.co.IN,2002-06-26,"CATEGORY A"
"MR. WILFRED JEAN",w_jean@gmail.com,2006-01-12,"CATEGORY B"
"MS. ANITA GOSWAMI",agoswami@gmail.com,2006-03-13,"CATEGORY B"
"MS. ASHWATHI BHATT",ash_bhat@yahoo.co.IN,2007-04-15,"CATEGORY B"
"MS. NEETHA CASTELINA",neetha20@gmail.com,2011-08-16,"CATEGORY C"
"MS. DEVIKA SATISH",devika_sa@gmail.com,2011-09-01,"CATEGORY C"
"MS. BIDHAN C.ROY",bidhanroy@yahoo.co.in,2011-10-23,"CATEGORY C"
"MR. VIKAS JHA",vikas.jha@gmail.com,2011-11-15,"CATEGORY C"
"MR. ARUL KUMAR.T",arulkumar@gmail.com,2011-12-03,"CATEGORY C"
"MR. RAVI SRINIVASN",r_srinivasn@yahoo.co.in,2012-01-05,"CATEGORY C"
"MR. AVINASH DUTTA",avinash.dutta@yahoo.co.in,2012-01-18,"CATEGORY C"
"MS. JYOTI SINHA",jyotisinha@gmail.com,2012-01-31,"CATEGORY C"
"MR. VIJAY BOLLINENI",vbollineni@gmail.com,2012-02-06,"CATEGORY C"
"MR. PRASAD SHETTY",pshetty@yahoo.co.in,2012-02-26,"CATEGORY C"
"MR. SURESH BABU",sbabu@yahoo.co.in,2012-03-01,"CATEGORY C"
"MS. BHARTI SUBHASH",bhartis@gmail.com,2012-03-28,"CATEGORY C"
"MR. KESHAV JOG",kesjog@yahoo.co.in,2012-04-06,"CATEGORY C"
"MS. RAMYA RAVINDER",ramya_r23@gmail.com,2006-02-12,"CATEGORY B"
"MR. ALAN SILVESTRI",alan_silver@msn.com,2016-02-04,"CATEGORY C"
"MR. ANDREW STANTON",andrew_stanton@yahoo.com,2013-05-23,"CATEGORY C"
"MS. ANNA PINNOCK",anna_pinnock@yahoo.com,2013-01-18,"CATEGORY C"
"MR. BRIAN GRAZER",brian_grazer@gmail.com,2009-12-28,"CATEGORY B"
"MR. BRUNO DELBONNEL",bruno_delbonnel@msn.com,2012-08-27,"CATEGORY C"
"MR. STEPHEN E. RIVKIN","stephen_e. rivkin@msn.com",2010-03-04,"CATEGORY B"
"MS. MALI FINN",mali_finn@yahoo.com,2006-01-14,"CATEGORY B"
"MR. SAYYED FARAJ",sayyed_faraj@gmail.com,2009-11-01,"CATEGORY B"
"MS. FRANCINE MAISLER",francine_maisler@gmail.com,2013-09-01,"CATEGORY C"
"MS. ANITA KOHLI",anita_kohli@yahoo.com,2010-10-24,"CATEGORY B"
"MR. THOMAS NEWMAN",thomas_nman@yahoo.com,2015-06-30,"CATEGORY C"
"MR. HANS ZIMMER",hans_zimmer@yahoo.com,2016-01-24,"CATEGORY C"
"MS. NISEEMA ZIMMER",niseemaz@yahoo.com,2014-12-29,"CATEGORY C"
"MR. HANS ZIMMER",hans_zimmer@gmail.com,2015-09-27,"CATEGORY C"
"MR. THOMAS NEWMAN",thomas_newman@gmail.com,2014-01-16,"CATEGORY C"
"MS. MICHELLE H. SHORES",howard_shores@yahoo.com,2010-06-24,"CATEGORY B"
"MR. JAMES NEWTON HOWARD",james_nhoward@yahoo.com,2012-07-06,"CATEGORY C"
"MR. JOHN LASSETER",john_lass@gmail.com,2016-09-02,"CATEGORY C"
"MS. LIZ MULLANE",liz_mullane@gmail.com,2006-03-29,"CATEGORY B"
"MR. PAUL HAGGIS",paul_haggis@gmail.com,2016-08-31,"CATEGORY C"
"MR. THARMAN SHANMUGARATNAM",tharshan@yahoo.co.sg,2009-11-20,"CATEGORY B"
"MS. REBECCA LIM",reblim@msn.co.sg,2009-07-31,"CATEGORY B"
"MR. RAJIV CHANDRASEKARAN",rajiv_chan@yahoo.co.in,2014-04-14,"CATEGORY C"
"MS. TANYA CHUA",tanyac@singers.sg,2014-04-14,"CATEGORY C"
"MS. JANVI RAJIV",janvi_jha@msn.co.sg,2015-04-14,"CATEGORY C"
"MS. TAN BEE SOO",tanbeesoo@yahoo.co.sg,2016-11-15,"CATEGORY C"
"MR. YUN ZHU",yunzho@gmail.com,2016-11-15,"CATEGORY C"
"MR. WAJDI BIN ABDUL MAJEED",wajdiabdul@gmail.com,2010-06-25,"CATEGORY B"
"MS. ANBARA BINTI MUBARAK",anmubarak@yahoo.co.my,2010-08-27,"CATEGORY B"
"MS. SRI BINTI  YAAKOB",sribinti@yahoo.co.my,2007-12-18,"CATEGORY B"
"MR. AHMAD BIN GH AZALI",ahmad_bingh@yahoo.co.my,2010-05-14,"CATEGORY B"
"MS. SUCHIRITHAA EKANAYAKE",suchiritha@msn.com,2016-11-15,"CATEGORY C"
